allocation_id,payment_event_id,bill_record_id,allocated_amount_minor,currency,available_at,source_ref,org_token
AL000232,EV000563,CPL-R00309,11173,USD,2023-09-20T18:36:01-05:00,CPL/SRC/allocations/00563,WCP
AL000233,EV000565,CPL-R00310,2877,USD,2023-04-04T10:33:36-05:00,CPL/SRC/allocations/00565,WCP
AL000234,EV000567,CPL-R00311,112325,USD,2023-08-05T02:57:12-05:00,CPL/SRC/allocations/00567,WCP
AL000235,EV000569,CPL-R00312,19626,USD,2023-06-09T22:25:27-05:00,CPL/SRC/allocations/00569,WCP
AL000236,EV000571,CPL-R00313,22940,USD,2023-01-15T09:50:51-06:00,CPL/SRC/allocations/00571,WCP
AL000237,EV000573,CPL-R00314,25145,USD,2022-08-09T16:34:18-05:00,CPL/SRC/allocations/00574,WCP
AL000238,EV000573,CPL-R00315,24581,USD,2022-08-10T11:42:11-05:00,CPL/SRC/allocations/00574,WCP
AL000239,EV000577,CPL-R00317,18402,USD,2023-06-28T18:23:16-05:00,CPL/SRC/allocations/00577,WCP
AL000240,EV000579,CPL-R00318,96485,USD,2023-06-09T15:31:43-05:00,CPL/SRC/allocations/00579,WCP
AL000241,EV000581,CPL-R00319,5658,USD,2023-10-08T11:15:48-05:00,CPL/SRC/allocations/00581,WCP
AL000242,EV000583,CPL-R00320,6616,USD,2023-06-30T14:18:13-05:00,CPL/SRC/allocations/00583,WCP
AL000243,EV000585,CPL-R00321,12702,USD,2022-11-11T19:08:26-06:00,CPL/SRC/allocations/00585,WCP
AL000244,EV000587,CPL-R00322,11524,USD,2023-08-10T23:29:07-05:00,CPL/SRC/allocations/00587,WCP
AL000245,EV000589,CPL-R00323,26397,USD,2023-06-16T13:14:00-05:00,CPL/SRC/allocations/00589,WCP
AL000246,EV000591,CPL-R00324,10151,USD,2023-06-29T17:47:59-05:00,CPL/SRC/allocations/00591,WCP
AL000247,EV000593,CPL-R00325,27222,USD,2023-06-06T10:28:32-05:00,CPL/SRC/allocations/00593,WCP
AL000248,EV000595,CPL-R00326,1397,USD,2022-07-20T13:07:47-05:00,CPL/SRC/allocations/00595,WCP
AL000249,EV000597,CPL-R00327,7541,USD,2023-01-25T15:30:31-06:00,CPL/SRC/allocations/00597,WCP
AL000250,EV000599,CPL-R00328,9525,USD,2022-08-14T00:52:03-05:00,CPL/SRC/allocations/00599,WCP
AL000251,EV000601,CPL-R00329,50593,USD,2023-09-14T15:07:57-05:00,CPL/SRC/allocations/00601,WCP
AL000252,EV000603,CPL-R00330,13308,USD,2023-07-26T11:11:15-05:00,CPL/SRC/allocations/00603,WCP
AL000253,EV000606,CPL-R00332,2946,USD,2023-04-21T05:14:04-05:00,CPL/SRC/allocations/00606,WCP
AL000254,EV000610,CPL-R00334,13122,USD,2022-12-27T13:13:19-06:00,CPL/SRC/allocations/00610,WCP
AL000255,EV000612,CPL-R00335,15897,USD,2022-10-10T19:24:32-05:00,CPL/SRC/allocations/00612,WCP
AL000256,EV000617,CPL-R00337,28547,USD,2022-12-30T20:18:57-06:00,CPL/SRC/allocations/00617,WCP
AL000257,EV000619,CPL-R00338,4907,USD,2022-08-26T16:17:13-05:00,CPL/SRC/allocations/00619,WCP
AL000258,EV000621,CPL-R00339,26000,USD,2023-07-20T11:39:17-05:00,CPL/SRC/allocations/00621,WCP
AL000259,EV000624,CPL-R00341,17556,USD,2023-03-17T21:53:54-05:00,CPL/SRC/allocations/00624,WCP
AL000260,EV000628,CPL-R00344,36832,USD,2023-01-31T19:49:29-06:00,CPL/SRC/allocations/00628,WCP
AL000261,EV000630,CPL-R00345,3505,USD,2023-04-30T07:58:58-05:00,CPL/SRC/allocations/00631,WCP
AL000262,EV000630,CPL-R00346,2123,USD,2023-04-21T21:47:53-05:00,CPL/SRC/allocations/00631,WCP
AL000263,EV000633,CPL-R00347,26764,USD,2023-06-03T03:31:22-05:00,CPL/SRC/allocations/00633,WCP
AL000264,EV000636,CPL-R00349,10764,USD,2023-09-12T20:55:08-05:00,CPL/SRC/allocations/00636,WCP
AL000265,EV000640,CPL-R00351,8770,USD,2023-02-07T20:04:57-06:00,CPL/SRC/allocations/00640,WCP
AL000266,EV000643,CPL-R00352,7477,USD,2023-10-13T16:24:13-05:00,CPL/SRC/allocations/00643,WCP
AL000267,EV000647,CPL-R00355,7047,USD,2022-08-19T15:58:44-05:00,CPL/SRC/allocations/00647,WCP
AL000268,EV000649,CPL-R00356,4835,USD,2023-08-11T14:52:20-05:00,CPL/SRC/allocations/00649,WCP
AL000269,EV000652,CPL-R00358,279131,USD,2023-05-22T12:34:17-05:00,CPL/SRC/allocations/00652,WCP
AL000270,EV000654,CPL-R00359,2966,USD,2022-12-03T02:21:39-06:00,CPL/SRC/allocations/00654,WCP
AL000271,EV000656,CPL-R00360,195434,USD,2023-07-23T14:39:53-05:00,CPL/SRC/allocations/00656,WCP
AL000272,EV000659,CPL-R00361,6728,USD,2023-09-07T21:41:46-05:00,CPL/SRC/allocations/00659,WCP
AL000273,EV000661,CPL-R00362,247006,USD,2023-07-03T12:24:15-05:00,CPL/SRC/allocations/00661,WCP
AL000274,EV000663,CPL-R00363,6798,USD,2023-04-28T15:23:19-05:00,CPL/SRC/allocations/00663,WCP
AL000275,EV000665,CPL-R00364,7017,USD,2022-08-20T06:07:25-05:00,CPL/SRC/allocations/00665,WCP
AL000276,EV000667,CPL-R00365,26813,USD,2023-05-15T14:12:17-05:00,CPL/SRC/allocations/00667,WCP
AL000277,EV000669,CPL-R00366,3804,USD,2022-08-18T12:04:26-05:00,CPL/SRC/allocations/00669,WCP
AL000278,EV000671,CPL-R00367,43424,USD,2023-08-16T14:53:04-05:00,CPL/SRC/allocations/00671,WCP
AL000279,EV000675,CPL-R00369,9794,USD,2023-08-16T18:08:21-05:00,CPL/SRC/allocations/00675,WCP
AL000280,EV000677,CPL-R00370,25622,USD,2022-11-07T11:50:55-06:00,CPL/SRC/allocations/00677,WCP
AL000281,EV000679,CPL-R00371,6541,USD,2022-09-08T10:52:53-05:00,CPL/SRC/allocations/00679,WCP
AL000282,EV000681,CPL-R00372,155300,USD,2022-11-18T00:55:26-06:00,CPL/SRC/allocations/00681,WCP
AL000283,EV000684,CPL-R00374,2722,USD,2023-04-18T13:15:49-05:00,CPL/SRC/allocations/00684,WCP
AL000284,EV000689,CPL-R00377,13358,USD,2022-10-05T14:31:36-05:00,CPL/SRC/allocations/00689,WCP
AL000285,EV000691,CPL-R00378,6625,USD,2023-03-03T20:29:58-06:00,CPL/SRC/allocations/00692,WCP
AL000286,EV000691,CPL-R00379,4932,USD,2023-03-09T06:23:42-06:00,CPL/SRC/allocations/00692,WCP
AL000287,EV000694,CPL-R00380,5876,USD,2023-09-09T07:46:27-05:00,CPL/SRC/allocations/00694,WCP
AL000288,EV000696,CPL-R00381,133397,USD,2023-03-07T07:35:40-06:00,CPL/SRC/allocations/00696,WCP
AL000289,EV000698,CPL-R00382,5908,USD,2023-01-23T19:21:16-06:00,CPL/SRC/allocations/00698,WCP
AL000290,EV000702,CPL-R00384,26127,USD,2022-08-08T16:01:36-05:00,CPL/SRC/allocations/00702,WCP
AL000291,EV000705,CPL-R00386,71907,USD,2023-04-28T16:23:21-05:00,CPL/SRC/allocations/00706,WCP
AL000292,EV000705,CPL-R00387,40125,USD,2023-04-24T19:04:33-05:00,CPL/SRC/allocations/00706,WCP
AL000293,EV000708,CPL-R00388,4438,USD,2023-04-16T02:01:55-05:00,CPL/SRC/allocations/00708,WCP
AL000294,EV000710,CPL-R00389,4620,USD,2023-07-25T09:12:55-05:00,CPL/SRC/allocations/00710,WCP
AL000295,EV000712,CPL-R00390,6079,USD,2023-02-07T21:05:11-06:00,CPL/SRC/allocations/00712,WCP
AL000296,EV000714,CPL-R00391,45238,USD,2023-07-31T20:15:11-05:00,CPL/SRC/allocations/00714,WCP
AL000297,EV000716,CPL-R00392,6747,USD,2023-06-26T10:02:48-05:00,CPL/SRC/allocations/00716,WCP
AL000298,EV000718,CPL-R00393,13350,USD,2023-10-27T01:03:31-05:00,CPL/SRC/allocations/00718,WCP
AL000299,EV000720,CPL-R00394,70344,USD,2023-01-23T10:18:14-06:00,CPL/SRC/allocations/00720,WCP
AL000300,EV000722,CPL-R00395,10149,USD,2023-01-02T12:12:02-06:00,CPL/SRC/allocations/00722,WCP
AL000301,EV000724,CPL-R00396,8670,USD,2023-04-24T08:55:10-05:00,CPL/SRC/allocations/00724,WCP
AL000302,EV000726,CPL-R00397,9473,USD,2022-11-10T13:35:39-06:00,CPL/SRC/allocations/00726,WCP
AL000303,EV000728,CPL-R00398,7241,USD,2022-12-15T11:26:48-06:00,CPL/SRC/allocations/00728,WCP
AL000304,EV000730,CPL-R00399,20762,USD,2023-04-03T12:55:16-05:00,CPL/SRC/allocations/00730,WCP
AL000305,EV000732,CPL-R00400,7254,USD,2023-03-10T14:33:44-06:00,CPL/SRC/allocations/00733,WCP
AL000306,EV000732,CPL-R00401,3760,USD,2023-03-12T22:42:42-05:00,CPL/SRC/allocations/00733,WCP
AL000307,EV000735,CPL-R00402,5592,USD,2023-05-05T16:04:02-05:00,CPL/SRC/allocations/00735,WCP
AL000308,EV000737,CPL-R00403,38243,USD,2023-08-07T22:57:38-05:00,CPL/SRC/allocations/00737,WCP
AL000309,EV000739,CPL-R00404,47951,USD,2023-09-07T11:10:01-05:00,CPL/SRC/allocations/00740,WCP
AL000310,EV000739,CPL-R00405,46164,USD,2023-08-28T21:31:34-05:00,CPL/SRC/allocations/00740,WCP
AL000311,EV000742,CPL-R00406,9469,USD,2022-12-25T01:27:38-06:00,CPL/SRC/allocations/00742,WCP
AL000312,EV000744,CPL-R00407,6218,USD,2022-08-31T18:52:59-05:00,CPL/SRC/allocations/00744,WCP
AL000313,EV000746,CPL-R00408,13825,USD,2023-07-25T16:33:06-05:00,CPL/SRC/allocations/00746,WCP
AL000314,EV000748,CPL-R00409,32002,USD,2023-05-09T17:36:17-05:00,CPL/SRC/allocations/00748,WCP
AL000315,EV000750,CPL-R00410,12774,USD,2023-01-01T09:17:27-06:00,CPL/SRC/allocations/00750,WCP
AL000316,EV000752,CPL-R00411,4765,USD,2023-10-22T04:07:11-05:00,CPL/SRC/allocations/00753,WCP
AL000317,EV000752,CPL-R00412,3367,USD,2023-11-01T16:36:11-05:00,CPL/SRC/allocations/00753,WCP
AL000318,EV000755,CPL-R00413,40985,USD,2023-04-21T23:05:46-05:00,CPL/SRC/allocations/00755,WCP
AL000319,EV000757,CPL-R00414,67268,USD,2022-07-22T06:28:45-05:00,CPL/SRC/allocations/00757,WCP
AL000320,EV000759,CPL-R00415,6620,USD,2022-12-03T23:29:18-06:00,CPL/SRC/allocations/00759,WCP
AL000321,EV000761,CPL-R00416,40692,USD,2023-08-12T15:38:03-05:00,CPL/SRC/allocations/00761,WCP
AL000322,EV000763,CPL-R00417,12120,USD,2022-09-10T09:58:44-05:00,CPL/SRC/allocations/00763,WCP
AL000323,EV000765,CPL-R00418,13496,USD,2022-10-19T20:35:43-05:00,CPL/SRC/allocations/00765,WCP
AL000324,EV000768,CPL-R00420,11245,USD,2023-04-16T05:50:59-05:00,CPL/SRC/allocations/00769,WCP
AL000325,EV000768,CPL-R00421,7654,USD,2023-04-14T12:14:56-05:00,CPL/SRC/allocations/00769,WCP
AL000326,EV000771,CPL-R00422,3105,USD,2023-01-23T05:18:25-06:00,CPL/SRC/allocations/00771,WCP
AL000327,EV000773,CPL-R00423,23261,USD,2023-03-09T16:36:40-06:00,CPL/SRC/allocations/00773,WCP
AL000328,EV000775,CPL-R00424,11287,USD,2023-04-21T02:56:40-05:00,CPL/SRC/allocations/00775,WCP
AL000329,EV000779,CPL-R00426,6946,USD,2022-10-14T23:57:19-05:00,CPL/SRC/allocations/00779,WCP
AL000330,EV000781,CPL-R00427,4635,USD,2023-04-08T00:10:57-05:00,CPL/SRC/allocations/00781,WCP
AL000331,EV000783,CPL-R00428,6004,USD,2023-10-09T09:23:26-05:00,CPL/SRC/allocations/00783,WCP
AL000332,EV000785,CPL-R00429,95674,USD,2023-02-07T15:15:27-06:00,CPL/SRC/allocations/00785,WCP
AL000333,EV000787,CPL-R00430,12658,USD,2023-03-09T03:25:33-06:00,CPL/SRC/allocations/00787,WCP
AL000334,EV000792,CPL-R00433,26370,USD,2023-06-05T17:41:23-05:00,CPL/SRC/allocations/00793,WCP
AL000335,EV000792,CPL-R00434,12224,USD,2023-06-05T16:21:40-05:00,CPL/SRC/allocations/00793,WCP
AL000336,EV000795,CPL-R00435,7156,USD,2022-11-09T18:37:17-06:00,CPL/SRC/allocations/00795,WCP
AL000337,EV000797,CPL-R00436,12021,USD,2023-10-22T09:19:41-05:00,CPL/SRC/allocations/00797,WCP
AL000338,EV000804,CPL-R00441,43648,USD,2023-02-20T17:05:17-06:00,CPL/SRC/allocations/00804,WCP
AL000339,EV000808,CPL-R00444,14422,USD,2023-02-15T10:52:42-06:00,CPL/SRC/allocations/00808,WCP
AL000340,EV000810,CPL-R00445,12530,USD,2023-08-28T14:28:25-05:00,CPL/SRC/allocations/00810,WCP
AL000341,EV000812,CPL-R00446,24538,USD,2023-05-06T14:09:51-05:00,CPL/SRC/allocations/00812,WCP
AL000342,EV000816,CPL-R00448,7207,USD,2023-05-06T13:21:28-05:00,CPL/SRC/allocations/00816,WCP
AL000343,EV000820,CPL-R00451,15047,USD,2023-05-15T19:39:59-05:00,CPL/SRC/allocations/00820,WCP
AL000344,EV000822,CPL-R00452,9137,USD,2023-07-26T19:48:29-05:00,CPL/SRC/allocations/00823,WCP
AL000345,EV000822,CPL-R00453,5230,USD,2023-07-27T20:36:58-05:00,CPL/SRC/allocations/00823,WCP
AL000346,EV000825,CPL-R00454,6733,USD,2023-07-27T17:08:15-05:00,CPL/SRC/allocations/00825,WCP
AL000347,EV000827,CPL-R00455,2613,USD,2022-09-08T09:50:09-05:00,CPL/SRC/allocations/00827,WCP
AL000348,EV000829,CPL-R00456,22480,USD,2023-08-23T08:04:00-05:00,CPL/SRC/allocations/00829,WCP
AL000349,EV000831,CPL-R00457,11621,USD,2022-10-13T09:26:59-05:00,CPL/SRC/allocations/00831,WCP
AL000350,EV000833,CPL-R00458,30217,USD,2023-03-14T12:54:51-05:00,CPL/SRC/allocations/00833,WCP
AL000351,EV000836,CPL-R00460,20839,USD,2023-09-15T02:45:40-05:00,CPL/SRC/allocations/00837,WCP
AL000352,EV000836,CPL-R00461,24488,USD,2023-09-22T19:17:18-05:00,CPL/SRC/allocations/00837,WCP
AL000353,EV000839,CPL-R00462,6391,USD,2023-02-06T21:52:47-06:00,CPL/SRC/allocations/00839,WCP
AL000354,EV000842,CPL-R00464,15779,USD,2022-11-30T16:51:17-06:00,CPL/SRC/allocations/00842,WCP
AL000355,EV000844,CPL-R00465,6811,USD,2023-07-15T18:29:59-05:00,CPL/SRC/allocations/00844,WCP
AL000356,EV000846,CPL-R00466,7676,USD,2023-06-30T07:55:52-05:00,CPL/SRC/allocations/00846,WCP
AL000357,EV000848,CPL-R00467,11657,USD,2023-08-29T11:24:00-05:00,CPL/SRC/allocations/00848,WCP
AL000358,EV000850,CPL-R00468,1644,USD,2023-01-10T23:42:12-06:00,CPL/SRC/allocations/00850,WCP
AL000359,EV000852,CPL-R00469,24145,USD,2023-01-12T12:38:37-06:00,CPL/SRC/allocations/00853,WCP
AL000360,EV000852,CPL-R00470,15761,USD,2023-01-12T18:53:00-06:00,CPL/SRC/allocations/00853,WCP
AL000361,EV000855,CPL-R00471,16425,USD,2022-07-18T15:58:33-05:00,CPL/SRC/allocations/00855,WCP
AL000362,EV000857,CPL-R00472,17950,USD,2023-06-15T20:34:30-05:00,CPL/SRC/allocations/00857,WCP
AL000363,EV000859,CPL-R00473,9474,USD,2023-03-03T08:21:00-06:00,CPL/SRC/allocations/00859,WCP
AL000364,EV000861,CPL-R00474,54815,USD,2022-09-05T17:13:23-05:00,CPL/SRC/allocations/00861,WCP
AL000365,EV000863,CPL-R00475,19545,USD,2023-02-22T06:13:47-06:00,CPL/SRC/allocations/00863,WCP
AL000366,EV000865,CPL-R00476,9101,USD,2023-04-28T18:16:04-05:00,CPL/SRC/allocations/00866,WCP
AL000367,EV000865,CPL-R00477,4150,USD,2023-04-28T15:59:23-05:00,CPL/SRC/allocations/00866,WCP
AL000368,EV000868,CPL-R00478,60681,USD,2023-09-16T05:16:47-05:00,CPL/SRC/allocations/00868,WCP
AL000369,EV000870,CPL-R00479,5657,USD,2023-04-19T16:01:12-05:00,CPL/SRC/allocations/00870,WCP
AL000370,EV000872,CPL-R00480,79873,USD,2023-05-01T16:49:35-05:00,CPL/SRC/allocations/00872,WCP
AL000371,EV000880,CPL-R00485,8506,USD,2023-03-13T17:45:41-05:00,CPL/SRC/allocations/00880,WCP
AL000372,EV000883,CPL-R00487,11625,USD,2023-09-13T18:25:49-05:00,CPL/SRC/allocations/00883,WCP
AL000373,EV000886,CPL-R00489,20107,USD,2022-11-28T18:14:24-06:00,CPL/SRC/allocations/00886,WCP
AL000374,EV000891,CPL-R00492,4502,USD,2023-07-10T12:12:51-05:00,CPL/SRC/allocations/00891,WCP
AL000375,EV000894,CPL-R00494,15325,USD,2022-08-10T01:46:09-05:00,CPL/SRC/allocations/00894,WCP
AL000376,EV000896,CPL-R00495,13569,USD,2023-06-12T17:58:47-05:00,CPL/SRC/allocations/00896,WCP
AL000377,EV000899,CPL-R00497,6688,USD,2023-05-30T08:59:24-05:00,CPL/SRC/allocations/00899,WCP
AL000378,EV000901,CPL-R00498,20352,USD,2022-08-15T04:55:33-05:00,CPL/SRC/allocations/00901,WCP
AL000379,EV000905,CPL-R00500,20334,USD,2023-09-08T08:43:56-05:00,CPL/SRC/allocations/00905,WCP
AL000380,EV000907,CPL-R00501,68869,USD,2023-08-31T10:00:44-05:00,CPL/SRC/allocations/00907,WCP
AL000381,EV000910,CPL-R00503,74410,USD,2022-11-25T04:39:23-06:00,CPL/SRC/allocations/00910,WCP
AL000382,EV000912,CPL-R00504,6276,USD,2023-01-19T17:37:28-06:00,CPL/SRC/allocations/00912,WCP
AL000383,EV000916,CPL-R00506,10146,USD,2023-02-23T05:08:12-06:00,CPL/SRC/allocations/00916,WCP
AL000384,EV000920,CPL-R00508,6651,USD,2023-09-08T13:40:32-05:00,CPL/SRC/allocations/00920,WCP
AL000385,EV000922,CPL-R00509,119025,USD,2022-11-29T04:03:09-06:00,CPL/SRC/allocations/00922,WCP
AL000386,EV000926,CPL-R00511,19922,USD,2023-03-30T22:11:47-05:00,CPL/SRC/allocations/00926,WCP
AL000387,EV000928,CPL-R00512,9846,USD,2023-05-10T22:46:26-05:00,CPL/SRC/allocations/00928,WCP
AL000388,EV000930,CPL-R00513,10339,USD,2022-08-20T14:36:45-05:00,CPL/SRC/allocations/00931,WCP
AL000389,EV000930,CPL-R00514,9387,USD,2022-08-12T15:29:56-05:00,CPL/SRC/allocations/00931,WCP
AL000390,EV000933,CPL-R00515,22811,USD,2023-06-08T15:46:05-05:00,CPL/SRC/allocations/00933,WCP
AL000391,EV000935,CPL-R00516,55433,USD,2023-03-25T13:24:56-05:00,CPL/SRC/allocations/00935,WCP
AL000392,EV000937,CPL-R00517,10704,USD,2023-03-04T14:14:17-06:00,CPL/SRC/allocations/00937,WCP
AL000393,EV000939,CPL-R00518,41557,USD,2023-03-03T14:02:34-06:00,CPL/SRC/allocations/00939,WCP
AL000394,EV000941,CPL-R00519,26802,USD,2022-10-28T20:32:30-05:00,CPL/SRC/allocations/00941,WCP
AL000395,EV000943,CPL-R00520,35390,USD,2022-10-31T23:38:20-05:00,CPL/SRC/allocations/00943,WCP
AL000396,EV000947,CPL-R00522,7324,USD,2023-01-13T01:10:09-06:00,CPL/SRC/allocations/00947,WCP
AL000397,EV000949,CPL-R00523,5997,USD,2023-09-22T21:48:03-05:00,CPL/SRC/allocations/00949,WCP
AL000398,EV000951,CPL-R00524,10468,USD,2022-11-07T18:01:49-06:00,CPL/SRC/allocations/00951,WCP
AL000399,EV000953,CPL-R00525,6382,USD,2023-05-23T06:21:04-05:00,CPL/SRC/allocations/00954,WCP
AL000400,EV000953,CPL-R00526,3904,USD,2023-05-25T18:38:09-05:00,CPL/SRC/allocations/00954,WCP
AL000401,EV000956,CPL-R00527,22740,USD,2022-08-21T22:20:58-05:00,CPL/SRC/allocations/00956,WCP
AL000402,EV000959,CPL-R00529,5290,USD,2023-10-14T03:25:12-05:00,CPL/SRC/allocations/00959,WCP
AL000403,EV000961,CPL-R00530,5107,USD,2022-08-19T14:46:27-05:00,CPL/SRC/allocations/00961,WCP
AL000404,EV000963,CPL-R00531,5201,USD,2022-09-24T07:24:02-05:00,CPL/SRC/allocations/00963,WCP
AL000405,EV000965,CPL-R00532,3001,USD,2022-10-14T23:37:25-05:00,CPL/SRC/allocations/00965,WCP
AL000406,EV000967,CPL-R00533,4286,USD,2023-01-21T21:44:29-06:00,CPL/SRC/allocations/00967,WCP
AL000407,EV000969,CPL-R00534,17982,USD,2023-07-11T15:47:41-05:00,CPL/SRC/allocations/00969,WCP
AL000408,EV000971,CPL-R00535,125087,USD,2023-05-03T13:23:32-05:00,CPL/SRC/allocations/00972,WCP
AL000409,EV000971,CPL-R00536,129958,USD,2023-04-24T14:14:05-05:00,CPL/SRC/allocations/00972,WCP
AL000410,EV000980,CPL-R00540,11013,USD,2023-10-06T14:52:19-05:00,CPL/SRC/allocations/00980,WCP
AL000411,EV000982,CPL-R00541,4905,USD,2023-07-14T23:29:05-05:00,CPL/SRC/allocations/00982,WCP
AL000412,EV000984,CPL-R00542,4941,USD,2023-01-02T08:43:04-06:00,CPL/SRC/allocations/00984,WCP
AL000413,EV000987,CPL-R00544,11989,USD,2022-12-20T12:18:23-06:00,CPL/SRC/allocations/00987,WCP
AL000414,EV000989,CPL-R00545,7879,USD,2023-01-30T14:02:47-06:00,CPL/SRC/allocations/00989,WCP
AL000415,EV000991,CPL-R00546,7572,USD,2023-04-05T19:51:00-05:00,CPL/SRC/allocations/00991,WCP
AL000416,EV000996,CPL-R00550,19556,USD,2023-07-31T13:16:50-05:00,CPL/SRC/allocations/00996,WCP
AL000417,EV000999,CPL-R00552,57122,USD,2023-08-01T17:38:25-05:00,CPL/SRC/allocations/00999,WCP
AL000418,EV001001,CPL-R00553,4869,USD,2023-04-04T12:30:52-05:00,CPL/SRC/allocations/01001,WCP
AL000419,EV001005,CPL-R00555,61105,USD,2023-10-13T19:29:22-05:00,CPL/SRC/allocations/01005,WCP
AL000420,EV001008,CPL-R00557,3011,USD,2023-07-24T10:43:00-05:00,CPL/SRC/allocations/01009,WCP
AL000421,EV001008,CPL-R00558,2309,USD,2023-07-08T10:28:05-05:00,CPL/SRC/allocations/01009,WCP
AL000422,EV001011,CPL-R00559,17796,USD,2022-12-22T15:13:51-06:00,CPL/SRC/allocations/01011,WCP
AL000423,EV001013,CPL-R00560,69548,USD,2022-12-05T15:50:05-06:00,CPL/SRC/allocations/01013,WCP
AL000424,EV001019,CPL-R00563,10957,USD,2023-04-30T14:28:11-05:00,CPL/SRC/allocations/01019,WCP
AL000425,EV001021,CPL-R00564,15841,USD,2023-08-17T04:58:57-05:00,CPL/SRC/allocations/01021,WCP
AL000426,EV001023,CPL-R00565,4802,USD,2022-09-04T07:26:55-05:00,CPL/SRC/allocations/01023,WCP
AL000427,EV001027,CPL-R00567,56545,USD,2023-09-24T15:33:53-05:00,CPL/SRC/allocations/01027,WCP
AL000428,EV001029,CPL-R00568,6758,USD,2023-10-24T03:12:00-05:00,CPL/SRC/allocations/01029,WCP
AL000429,EV001031,TRI-R00569,3658,USD,2023-06-28T13:59:03-06:00,TRI/SRC/allocations/01031,WCP
AL000430,EV001036,TRI-R00572,13325,USD,2022-12-19T20:14:25-07:00,TRI/SRC/allocations/01037,WCP
AL000431,EV001036,TRI-R00573,9474,USD,2022-12-19T18:15:11-07:00,TRI/SRC/allocations/01037,WCP
AL000432,EV001041,TRI-R00575,14050,USD,2023-04-24T17:47:50-06:00,TRI/SRC/allocations/01041,WCP
AL000433,EV001043,TRI-R00576,12063,USD,2022-09-13T22:00:07-06:00,TRI/SRC/allocations/01043,WCP
AL000434,EV001045,TRI-R00577,7401,USD,2023-04-30T02:49:24-06:00,TRI/SRC/allocations/01045,WCP
AL000435,EV001048,TRI-R00578,85297,USD,2022-12-29T01:43:19-07:00,TRI/SRC/allocations/01048,WCP
AL000436,EV001050,TRI-R00579,13733,USD,2023-03-27T20:23:52-06:00,TRI/SRC/allocations/01050,WCP
AL000437,EV001054,TRI-R00581,22848,USD,2022-08-15T15:57:27-06:00,TRI/SRC/allocations/01054,WCP
AL000438,EV001056,TRI-R00582,26129,USD,2023-07-18T22:29:19-06:00,TRI/SRC/allocations/01056,WCP
AL000439,EV001058,TRI-R00583,12379,USD,2023-10-02T08:47:11-06:00,TRI/SRC/allocations/01058,WCP
AL000440,EV001060,TRI-R00584,5306,USD,2023-10-02T09:43:37-06:00,TRI/SRC/allocations/01060,WCP
AL000441,EV001062,TRI-R00585,6073,USD,2023-05-15T11:43:00-06:00,TRI/SRC/allocations/01062,WCP
AL000442,EV001064,TRI-R00586,6379,USD,2023-10-06T15:21:28-06:00,TRI/SRC/allocations/01064,WCP
AL000443,EV001066,TRI-R00587,4606,USD,2023-09-25T21:23:08-06:00,TRI/SRC/allocations/01066,WCP
AL000444,EV001068,TRI-R00588,5831,USD,2022-09-19T11:00:04-06:00,TRI/SRC/allocations/01068,WCP
AL000445,EV001071,TRI-R00589,19440,USD,2023-09-27T15:50:41-06:00,TRI/SRC/allocations/01071,WCP
AL000446,EV001073,TRI-R00590,20496,USD,2022-12-06T16:05:06-07:00,TRI/SRC/allocations/01073,WCP
AL000447,EV001076,TRI-R00592,20365,USD,2022-11-30T19:26:57-07:00,TRI/SRC/allocations/01076,WCP
AL000448,EV001083,TRI-R00597,19911,USD,2023-06-14T02:10:05-06:00,TRI/SRC/allocations/01083,WCP
AL000449,EV001088,TRI-R00600,3949,USD,2022-11-28T19:52:15-07:00,TRI/SRC/allocations/01088,WCP
AL000450,EV001090,TRI-R00601,37973,USD,2022-09-26T19:07:19-06:00,TRI/SRC/allocations/01090,WCP
AL000451,EV001095,TRI-R00604,10484,USD,2022-08-31T16:26:51-06:00,TRI/SRC/allocations/01095,WCP
AL000452,EV001097,TRI-R00605,7826,USD,2022-11-10T03:00:25-07:00,TRI/SRC/allocations/01097,WCP
AL000453,EV001100,TRI-R00607,13502,USD,2022-08-22T17:29:24-06:00,TRI/SRC/allocations/01100,WCP
AL000454,EV001104,TRI-R00609,66406,USD,2023-09-11T23:05:42-06:00,TRI/SRC/allocations/01104,WCP
AL000455,EV001108,TRI-R00611,54288,USD,2022-10-11T06:58:15-06:00,TRI/SRC/allocations/01108,WCP
AL000456,EV001110,TRI-R00612,41256,USD,2023-09-08T16:30:01-06:00,TRI/SRC/allocations/01111,WCP
AL000457,EV001110,TRI-R00613,28148,USD,2023-09-08T16:53:00-06:00,TRI/SRC/allocations/01111,WCP
AL000458,EV001113,TRI-R00614,8527,USD,2022-10-02T13:09:39-06:00,TRI/SRC/allocations/01113,WCP
AL000459,EV001115,TRI-R00615,20567,USD,2023-08-18T10:16:49-06:00,TRI/SRC/allocations/01115,WCP
AL000460,EV001117,TRI-R00616,10752,USD,2023-10-30T12:28:32-06:00,TRI/SRC/allocations/01117,WCP
AL000461,EV001121,TRI-R00618,133781,USD,2022-11-02T16:04:32-06:00,TRI/SRC/allocations/01121,WCP
AL000462,EV001123,TRI-R00619,9409,USD,2023-04-04T16:20:41-06:00,TRI/SRC/allocations/01123,WCP
AL000463,EV001126,TRI-R00621,9796,USD,2023-05-05T00:35:16-06:00,TRI/SRC/allocations/01126,WCP
